"Hits","HmRun","Runs","RBI","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","League","Division","NewLeague","Salary"
81,7,24,38,14,3449,835,69,321,414,"N","W","N",6.16331480403464
130,18,66,72,3,1624,457,63,224,266,"A","W","A",6.17378610390194
141,20,65,78,11,5628,1575,225,828,838,"N","E","N",6.21460809842219
87,10,39,42,2,396,101,12,48,46,"N","E","N",4.51633897228148
169,4,74,51,11,4408,1133,19,501,336,"A","W","A",6.62007320653036
37,1,23,8,2,214,42,1,30,9,"N","E","A",4.24849524204936
73,0,24,24,3,509,108,0,41,37,"A","W","A",4.60517018598809
81,6,26,32,2,341,86,6,32,34,"N","W","N",4.31748811353631
92,17,49,66,13,5206,1332,253,784,890,"A","E","A",7.00306545878646
159,21,107,75,10,4631,1300,90,702,504,"A","E","A",6.24831943200756
53,4,31,26,9,1876,467,15,192,186,"N","W","N",6.23930071101256
113,13,48,61,4,1512,392,41,205,204,"N","E","N",6.30991827822652
60,0,30,11,6,1941,510,4,309,103,"A","E","A",6.5510803350434
43,7,29,27,13,3231,825,36,376,290,"N","E","N",5.48063892334199
158,20,89,75,15,8068,2273,177,1045,993,"N","W","N",6.65286302935335
46,2,24,8,5,479,102,5,65,23,"A","W","A",5.16478597392351
32,8,16,22,8,727,180,24,67,82,"N","W","N",4.90527477843843
92,16,72,48,1,413,92,16,72,48,"N","E","N",4.60517018598809
109,3,55,43,1,426,109,3,55,43,"A","W","N",4.74493212836325
116,16,60,62,6,1924,489,67,242,251,"N","W","N",6.39692965521615
168,18,73,102,18,8424,2464,164,1008,1072,"A","E","A",6.65501168707609
163,4,92,51,6,2695,747,17,442,198,"A","E","A",6.63987583382654
73,4,32,18,7,1931,491,13,291,108,"N","E","N",6.56291432210206
129,10,50,56,10,2331,604,61,246,327,"N","W","N",6.62007320653036
152,6,92,37,5,2308,633,32,349,182,"N","W","N",6.4377516497364
137,20,90,95,14,5201,1382,166,763,734,"A","W","A",6.80239476332431
108,6,55,36,3,591,149,8,80,46,"N","W","N",4.70048036579242
168,17,83,80,5,1646,452,44,219,208,"A","E","A",6.41754894241888
49,6,23,25,7,1309,308,27,126,132,"A","W","A",5.7037824746562
106,10,38,60,14,6207,1906,146,859,803,"N","W","N",6.74523634948436
60,5,24,25,2,350,78,5,34,29,"N","W","N",4.49980967033027
41,1,15,21,2,232,50,4,20,29,"A","E","A",4.21212759787848
46,7,32,19,4,694,160,32,86,76,"A","E","A",5.19295685089021
68,2,28,26,6,999,236,21,108,117,"A","E","A",5.72031177660741
132,7,57,49,3,932,273,24,113,121,"N","W","N",5.37063802812766
57,8,34,32,5,756,192,32,117,107,"A","E","A",5.51141058200874
146,13,71,70,6,2648,715,77,352,342,"N","W","N",6.70318811324086
101,14,42,63,17,6521,1767,281,1003,977,"A","W","A",6.77422388635761
53,2,30,29,2,226,59,2,32,32,"N","E","N",4.24849524204936
168,19,80,72,9,4478,1307,113,634,563,"A","W","A",7.09007683577609
101,12,45,53,12,5150,1429,166,747,666,"A","E","A",6.51471269087253
102,18,49,85,6,950,231,29,99,138,"N","W","N",6.0282785202307
58,9,28,25,4,1335,333,49,164,179,"N","W","N",5.82894561761021
78,6,32,41,12,3742,968,35,409,321,"N","W","N",6.03228734162792
177,25,98,81,6,3210,927,133,529,472,"A","E","A",7.20785987143248
113,24,58,69,1,416,113,24,58,69,"A","E","A",4.49980967033027
44,6,21,23,16,6631,1634,98,698,661,"N","E","N",5.61677109766657
56,0,27,15,4,1115,270,1,116,64,"A","W","A",5.4380793089232
53,1,31,15,4,926,210,9,118,69,"N","W","N",5.41610040220442
139,31,93,94,17,7546,1982,315,1141,1179,"A","E","A",6.85646198459459
53,5,29,22,3,514,120,8,57,40,"A","W","A",4.31748811353631
142,20,67,86,4,815,205,22,99,103,"A","E","A",4.65396035015752
81,3,42,30,17,8247,2198,100,950,909,"N","W","N",5.76832099579377
131,26,69,96,14,5347,1397,221,712,815,"A","W","A",6.74523634948436
122,29,78,85,18,7761,1947,347,1175,1152,"A","E","A",6.28226674689601
137,26,86,97,15,6661,1785,291,1082,949,"A","E","A",6.83876205035226
119,6,57,46,9,3651,1046,32,461,301,"A","E","N",6.74523634948436
97,4,55,29,4,1258,353,16,196,110,"N","W","A",5.34710753071747
103,15,59,47,6,2174,555,80,285,274,"A","W","A",5.78382518232974
96,4,37,29,4,1064,290,11,123,108,"A","W","A",5.61677109766657
70,7,49,35,15,6311,1661,154,1019,608,"N","E","N",6.10924758276437
238,31,117,113,5,2223,737,93,349,401,"A","E","A",7.58832367733522
163,29,89,83,11,5017,1388,266,813,822,"N","W","N",7.54960916515453
83,9,50,39,9,3828,948,145,575,528,"A","W","A",6.39692965521615
174,31,89,116,14,6727,2024,247,978,1093,"N","W","N",6.94857759350234
82,16,44,45,2,428,113,25,61,70,"A","E","A",4.70048036579242
41,12,21,29,16,5409,1338,181,746,805,"A","W","A",5.56068163101553
114,13,67,57,4,1350,298,28,160,123,"A","W","A",6.16331480403464
83,13,39,46,5,1457,405,28,156,159,"A","W","A",6.06726751052348
123,27,76,93,4,1810,471,108,292,343,"N","E","N",7.1066061377273
78,7,35,35,1,317,78,7,35,35,"A","E","A",4.24849524204936
138,25,76,96,3,592,164,28,87,110,"A","W","A",4.97673374242057
119,13,54,58,12,2133,594,41,287,294,"N","W","N",6.38856140554563
148,24,90,104,14,7287,2083,305,1135,1234,"A","E","A",7.52911640503463
115,27,97,71,3,711,184,45,156,119,"N","W","N",5.7037824746562
110,15,70,47,7,2130,544,38,335,174,"N","W","N",6.19440539110467
151,17,61,84,10,5624,1679,275,884,1015,"A","E","A",7.80791662892641
49,2,41,23,8,1350,336,7,166,122,"A","E","A",5.92692602597041
154,22,76,84,14,6100,1583,131,743,693,"A","W","A",6.62007320653036
198,31,101,108,5,2129,610,92,297,319,"A","E","A",7.06902342657826
51,4,19,18,1,215,51,4,19,18,"A","E","A",4.24849524204936
128,16,70,73,14,6675,2095,209,1072,1050,"A","W","A",7.3132203870903
76,16,33,52,5,1506,351,71,195,219,"N","W","A",5.95324333428778
125,24,81,105,13,6063,1646,271,847,999,"N","E","N",7.56297782611449
152,31,91,101,3,985,260,53,148,173,"N","W","N",5.37063802812766
171,34,91,108,6,2862,728,107,361,401,"A","W","A",6.80239476332431
118,12,63,54,4,793,187,14,102,80,"A","W","A",5.04342511691925
77,14,45,47,16,6840,1910,259,915,1067,"A","W","A",6.5510803350434
94,4,42,36,9,3573,866,59,429,365,"N","W","N",6.28226674689601
85,3,30,44,8,2140,568,16,216,208,"A","E","A",5.89302447429473
96,21,49,46,15,6986,1972,231,1070,955,"N","E","N",6.59759989613274
77,16,36,55,20,8716,2172,384,1172,1267,"N","W","N",5.29831736654804
139,5,93,58,5,1469,369,12,247,126,"A","W","A",5.99146454710798
84,11,62,33,5,1516,376,42,284,141,"N","E","A",5.99146454710798
126,2,42,44,11,5562,1578,44,703,519,"N","W","N",6.60326608821398
78,13,37,51,5,1649,453,73,211,280,"A","W","A",6.21460809842219
120,5,54,51,8,3118,900,92,444,419,"A","W","A",6.39692965521615
158,15,70,84,5,2358,636,58,265,316,"N","E","N",6.49602055786038
169,21,72,88,7,3754,1077,140,492,589,"A","W","A",6.85646198459459
104,14,50,58,7,2954,822,55,313,377,"N","E","N",6.62007320653036
54,10,30,39,5,1185,299,40,145,154,"N","E","N",5.69541422498568
70,7,22,37,18,7186,2081,190,935,1088,"A","W","A",5.78382518232974
99,1,46,24,4,618,129,1,72,31,"A","W","A",4.47163879336357
39,5,18,30,9,639,151,16,80,97,"N","W","N",5.16478597392351
40,4,23,11,3,524,125,7,58,37,"N","E","N",4.49980967033027
170,40,107,108,6,2325,634,128,371,376,"A","E","A",7.12084849444285
103,6,48,36,15,4338,1193,70,581,421,"A","E","A",6.06378520868761
103,2,65,32,2,440,103,2,67,32,"A","W","N",4.60517018598809
144,33,85,117,2,696,173,38,101,130,"A","W","A",5.10594547390058
200,29,108,121,4,1447,404,57,210,222,"A","E","A",5.52146091786225
55,9,34,23,12,4405,1213,194,702,705,"N","E","N",7.17011954344963
133,10,48,72,17,7472,2147,153,980,1032,"N","W","N",6.65070974495767
132,21,61,74,6,2641,671,97,273,383,"N","E","N",6.91605375121827
39,8,18,31,14,2128,543,56,304,268,"A","E","A",5.61677109766657
183,10,80,74,5,2482,715,27,330,326,"A","E","A",6.65286302935335
136,7,58,38,11,3871,1066,40,450,367,"A","E","A",6.74523634948436
70,13,32,51,15,4040,1130,97,544,462,"A","E","A",5.89989735358249
41,4,26,21,2,288,68,9,45,39,"A","W","A",4.55387689160054
86,4,33,38,1,278,86,4,33,38,"N","W","N",4.70048036579242
95,6,48,42,10,2964,808,81,379,428,"N","W","N",4.60517018598809
147,23,58,88,10,2744,730,97,302,351,"N","E","N",5.62582093318649
102,3,56,34,5,670,167,4,89,48,"A","W","A",4.38202663467388
94,5,37,32,13,4618,1330,57,616,522,"N","E","N",6.39692965521615
163,27,83,107,3,1437,377,65,181,227,"A","W","A",5.29831736654804
174,7,67,78,6,3053,880,32,366,337,"N","E","N",6.48768401848461
39,2,13,9,3,196,44,2,18,10,"A","W","N",4.31748811353631
200,20,98,110,13,7127,2163,351,1104,1289,"A","E","A",7.78841883321314
66,5,31,26,14,3910,979,33,518,324,"N","W","A",5.52146091786225
76,13,35,60,3,630,151,24,68,94,"N","E","N",5.04342511691925
157,16,90,78,4,2020,541,52,310,226,"N","E","N",6.46146817635372
92,11,54,49,6,1354,325,30,188,135,"A","E","A",5.7037824746562
73,5,23,37,4,450,108,6,38,46,"A","W","A",4.70048036579242
91,12,41,42,13,5590,1397,83,578,579,"A","W","N",6.71538338633468
101,3,46,43,3,948,218,6,96,72,"N","W","N",5.27299955856375
47,5,20,28,11,3327,890,74,419,382,"N","W","N",6.10924758276437
184,20,83,79,5,1689,462,40,219,195,"N","W","N",6.44571981938558
58,6,34,23,1,181,58,6,34,23,"N","W","N",4.46014441393783
